GEO/TIME;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
BE343;959.26;986.22;1038.1;1097.6;1178.3;1210.78;1300.49;1323.11;1371.09;1287.11;1340.39;1412.1;1459.67;1473.82;1527.26;1552.61;1588.42;1625.21;1676.46
BE344;1020.66;1026.44;1063.03;1109.01;1143.07;1176.49;1347.62;1375.21;1410.93;1309.27;1378.34;1429.89;1452.96;1479.98;1563.7;1595.02;1666.84;1746.85;1807.16
BE345;821;811.51;753.64;721.25;745.04;795.76;818.93;837.74;823.52;779.67;822.01;842.74;854.45;902.7;913.68;946.7;955.92;952.97;983.01
BE35;7680.65;7927.32;8200.98;8535.74;8984.15;9352.18;9943.76;10392.37;10817.52;10549.95;11128.86;11465.28;11726.41;11881.71;12130.92;12346.72;12729.64;13078.67;13461.4
BE351;1453.35;1492.29;1529.89;1542.2;1596.11;1649.52;1766.67;1859.02;1921.66;1923.83;1983.04;2065.92;2228.18;2294.24;2274.3;2331.87;2411.14;2389.49;2440.7
BE352;5471.04;5641.69;5857.61;6169.92;6520.95;6809.6;7228.58;7547.66;7864.07;7636.22;8126.53;8317.91;8386.16;8442.41;8708.81;8843.79;9125.76;9470.84;9780.21
BE353;756.26;793.45;813.48;823.62;867.08;893.06;948.52;985.69;1031.79;989.9;1019.29;1081.45;1112.07;1145.05;1147.82;1171.07;1192.74;1218.34;1240.49
BEZ;330.58;342.99;334.1;284.73;219.08;176.34;173.48;178.42;184.3;193.32;244.75;253.47;267.14;271.68;269.46;258.64;181.03;191.6;252.54
BEZZ;330.58;342.99;334.1;284.73;219.08;176.34;173.48;178.42;184.3;193.32;244.75;253.47;267.14;271.68;269.46;258.64;181.03;191.6;252.54
BEZZZ;330.58;342.99;334.1;284.73;219.08;176.34;173.48;178.42;184.3;193.32;244.75;253.47;267.14;271.68;269.46;258.64;181.03;191.6;252.54
BG;14406.76;15905.29;17478.3;18798.31;21093.18;24039.9;27409.98;32444.47;37217.68;37400.17;38044.13;41252.64;42033.45;41885.36;42876.15;45675.84;48620.5;52310;56086.92
BG3;7091.38;7547.71;8085.36;8499.69;9324.57;10545.13;11435.65;12968.8;14772.09;14515.72;14389.89;15566.91;16074.93;16078.26;16780.29;17221.54;18458.67;19831.38;20952.4
BG31;1670.08;1815.26;1892.65;1922.31;2046.22;2257.13;2339.19;2661.96;2938.52;2830.66;2772.1;2989.57;2978.9;2938.11;3047.33;3071.44;3208.14;3528.78;3923.85
BG311;168.15;193.99;207.16;208.07;224.47;238.75;241.91;279.66;310.61;302.37;279.47;287.9;283.76;290.21;294.52;296.19;297.15;332.08;:
BG312;222.91;254.3;280.52;284.27;313.67;338.14;353.93;398.95;468.32;439.61;433.41;463.52;469.17;497.09;478.97;516.53;547.55;598.53;:
BG313;554.41;530.55;528.89;545.19;567.78;621.29;618.3;669.39;789.43;760.55;795.64;849.83;846.99;750.83;859.25;815.64;847.56;1010.99;:
BG314;461.81;544.69;565.88;562.42;584.19;674.07;717.53;808.46;853.93;840.33;790.17;871.06;856.14;879.71;876.21;906.72;929.88;991.83;:
BG315;262.81;291.72;310.2;322.36;356.12;384.88;407.51;505.49;516.24;487.8;473.41;517.25;522.84;520.26;538.38;536.37;586;595.34;:
BG32;1499.52;1683.89;1889;1885.75;2041.61;2295.71;2463.79;2803.54;3122.33;3068.42;2988.77;3252.58;3376.79;3404.42;3540.57;3622.43;3782.81;4036.35;4301.22
BG321;438.57;486.47;568.18;548.74;594.68;658.99;721.16;785.87;856.73;879.06;915.41;945.69;973.52;998.93;991.58;1041.14;1072.27;1142.01;:
BG322;250.71;286.49;320.64;317.87;344.74;387.34;417.42;498.2;519.55;527.35;505.66;551.98;570.15;546.26;585.47;615.62;649.16;708.76;:
BG323;418.22;456.24;502.34;525.96;580.63;661.99;723.71;857.54;999.54;967.89;857.8;976.27;1022.45;1045.52;1126.22;1150.7;1211.6;1275.3;:
BG324;199.82;233.57;268.04;268.25;272.92;312.72;321.83;357.44;396.58;370.25;400.74;431.81;481.06;479.7;492.3;467.56;497.19;526.22;:
BG325;192.19;221.12;229.79;224.93;248.64;274.67;279.67;304.5;349.92;323.87;309.16;346.83;329.62;334.01;344.99;347.41;352.58;384.07;:
BG33;1722.6;1836.7;2000.26;2146.62;2391.61;2695.52;3106.61;3613.22;4189.61;4023.35;4017.45;4412.53;4574.76;4553.51;4760.71;4962.38;5160.85;5518.51;5955.31
BG331;900.68;995.78;1088.31;1176.39;1345.58;1518.78;1835.79;2192.04;2544.73;2473.44;2381.15;2681.67;2784.03;2728.64;2941.36;3079.68;3153.63;3390.3;:
BG332;366.03;338.84;358.71;392.74;429.46;470.7;486.55;525.7;634.26;603.12;680.92;703.34;713.04;726.62;731.69;739.58;771.21;816.78;:
BG333;275.8;302.17;327.95;357.33;373.61;429.58;464.9;529.47;625.76;577.73;576.59;614.02;646.89;659.8;666.97;685.7;724.51;789.55;:
BG334;180.09;199.91;225.29;220.15;242.95;276.47;319.38;366;384.85;369.06;378.79;413.5;430.8;438.46;420.69;457.42;511.5;521.87;:
BG34;2199.17;2211.87;2303.45;2545.01;2845.13;3296.76;3526.06;3890.08;4521.62;4593.3;4611.58;4912.22;5144.47;5182.23;5431.68;5565.29;6306.88;6747.73;6772.02
BG341;945.21;793.91;852.03;964.39;1099.1;1379.99;1517.08;1705.52;1946.75;1901.66;1917.24;2068.94;2072.02;2096.43;1938.01;2224.66;2446.02;2635.48;:
BG342;281.46;312.96;342.51;351.04;391.16;422.76;438.38;472.47;533.5;530.35;542.57;589.69;622.47;561.55;587.06;575.89;624.16;683.59;:
BG343;204.74;222.34;233.83;249.67;273.36;279.41;300.04;330.49;381.17;403.68;430.61;450.99;484.61;462.94;500.13;520.12;536.49;557.81;:
BG344;767.76;882.65;875.08;979.92;1081.5;1214.6;1270.56;1381.59;1660.2;1757.61;1721.16;1802.6;1965.37;2061.3;2406.49;2244.62;2700.21;2870.86;:
BG4;7315.39;8357.59;9392.94;10298.63;11768.61;13494.78;15974.33;19475.67;22445.59;22884.45;23654.24;25685.74;25958.52;25807.1;26095.86;28454.3;30161.83;32478.62;35134.52
BG41;5088.61;5891.32;6764.66;7389.38;8467.75;9764.78;11822.37;14759.59;17202.81;17586.6;18294.58;19901.86;19974.55;19887.82;20259.34;22002.61;23363.69;25154.05;27191.6
BG411;3696.48;4410.56;5123.6;5562.17;6365.34;7478.36;9315.06;11889.31;13962.76;14351.91;15233.42;16349.27;16369.83;16465.35;16765.02;18247.22;19487.1;20859.48;:
BG412;444.92;449.61;517.89;572.75;680.47;793.01;959.28;1021.85;1147.45;1319.65;1135.65;1491.52;1544.65;1377.11;1427.95;1609.74;1617.59;1884.03;:
BG413;466.48;502.88;542.78;633.84;740.97;791.92;815.46;974.59;1094.12;1094.69;1040.1;1176.34;1223.04;1233.2;1220.91;1263.75;1318.96;1398.38;:
BG414;203.52;224.75;264.65;259.58;325.08;342.97;358.31;441.99;558.29;410.6;438.96;447.54;403.61;382.18;389.81;391.61;444.39;493.07;:
BG415;277.21;303.51;315.74;361.03;355.89;358.51;374.27;431.85;440.19;409.76;446.45;437.19;433.42;429.98;455.65;490.29;495.66;519.08;:
BG42;2226.77;2466.27;2628.28;2909.25;3300.85;3730;4151.96;4716.08;5242.78;5297.85;5359.66;5783.88;5983.97;5919.28;5836.52;6451.69;6798.14;7324.57;7942.91
BG421;1061.7;1201.54;1275.22;1418.2;1616.06;1875.88;2058.74;2364.99;2575.24;2816.17;2826.62;3099.33;3171.24;3237.85;3184.92;3513.01;3871.12;4165.95;:
BG422;379.56;422.2;441.84;483.18;535.78;565.48;591.57;697.36;789.95;738.21;688.27;773.65;791.82;754.45;779.13;845.44;880.32;937.48;:
BG423;376.18;386.6;437.7;481.76;556.01;623.59;809.48;877.44;946.79;865.54;980.82;1013.49;1064.16;1008.97;945.22;1086.71;1018.25;1086.98;:
BG424;189.94;236.97;245.65;249.46;279.95;312;328.14;379.93;476.79;437.54;441.33;458.54;468.11;446.58;460.99;505.2;497.72;554.23;:
BG425;219.39;218.96;227.87;276.65;313.05;353.04;364.04;396.35;454.01;440.4;422.63;438.87;488.63;471.43;466.26;501.33;530.73;579.92;:
CZ;66838.76;75387.72;87055.06;88249.14;96028.47;109627.66;123943.19;138302.85;161313.12;148682.01;156718.24;164040.46;161434.33;157741.65;156659.97;168473.29;176370.13;191721.76;207570.32
CZ0;66838.76;75387.72;87055.06;88249.14;96028.47;109627.66;123943.19;138302.85;161313.12;148682.01;156718.24;164040.46;161434.33;157741.65;156659.97;168473.29;176370.13;191721.76;207570.32
CZ01;15171.68;17419.58;20359.87;21170.92;23099.98;26870.28;30519.61;34851.67;41263.38;37949.9;40265.86;40819.11;39937.93;38926.93;37903.92;42448.39;44409.03;48750.85;53612.1
CZ010;15171.68;17419.58;20359.87;21170.92;23099.98;26870.28;30519.61;34851.67;41263.38;37949.9;40265.86;40819.11;39937.93;38926.93;37903.92;42448.39;44409.03;48750.85;:
CZ02;7260.13;8184.88;9546.19;9407.33;10302.72;11365.8;13312.49;14976.87;17647.62;15919.06;16629.81;17935.54;17873.56;17410.73;17912.91;19022.76;20632.18;22784.36;24063.34
CZ020;7260.13;8184.88;9546.19;9407.33;10302.72;11365.8;13312.49;14976.87;17647.62;15919.06;16629.81;17935.54;17873.56;17410.73;17912.91;19022.76;20632.18;22784.36;:
CZ03;7198.47;8054.86;9275.86;9344.65;10264.09;11614.53;13189.98;14112.21;15772.14;15047.59;15874.45;16526.1;16179.44;16171.66;16070.33;16935.9;17788.39;19089.78;20561.44
CZ031;3830.34;4242.15;4897.98;4863.9;5251.25;6065.91;6776.49;7248.71;8176.61;7720.68;8018.08;8286.71;8287.92;8160.16;7971.59;8385.94;8775.47;9394.96;:
CZ032;3368.13;3812.7;4377.89;4480.74;5012.84;5548.62;6413.49;6863.51;7595.54;7326.91;7856.38;8239.39;7891.52;8011.5;8098.74;8549.95;9012.92;9694.83;:
CZ04;6127.55;6725.97;7838.05;8050.57;8577.69;9699.14;10788.7;11815.76;13654.6;12927.85;13178.67;13566.07;13248.37;12769.68;12360.29;13276.93;13300.32;14315.26;15212.99
CZ041;1686.01;1833.36;2148.71;2156.64;2247.81;2498.58;2709.17;3005.14;3384.72;3204.69;3283.23;3379.64;3276.68;3156.61;3073.81;3197.82;3259.64;3550.95;:
CZ042;4441.54;4892.61;5689.35;5893.93;6329.88;7200.57;8079.53;8810.62;10269.88;9723.16;9895.44;10186.43;9971.68;9613.07;9286.48;10079.12;10040.68;10764.31;:
CZ05;8697.06;9700.18;11040.54;10886.04;11696.52;13323.09;14952.78;16512.32;18885;17400.43;18523.7;19449.26;18859.72;18452.17;18508.71;19773.43;20890.78;22980.9;24652.11
CZ051;2538.14;2838.36;3225.1;3012.72;3217.66;3831.88;4262.42;4517.2;5127.54;4668.86;5002.87;5247.05;5232.03;5098.88;5065.75;5426.04;5686.53;6108.32;:
CZ052;3337.13;3702.28;4168.43;4163.81;4519.91;5068.74;5585.93;6265.64;7252.29;6796.63;7195.06;7462.7;7335.6;7125.08;7197.42;7639.55;8177.57;9249.42;:
CZ053;2821.79;3159.54;3647;3709.52;3958.95;4422.47;5104.43;5729.48;6505.18;5934.94;6325.77;6739.5;6292.09;6228.21;6245.55;6707.84;7026.68;7623.16;:
CZ06;9473.68;10797.56;12401.32;12605.61;13501.09;15317.31;17315.1;19504.77;22865.2;21188.02;22273.7;23737.67;23861.36;23870.15;23518.73;25060.84;25942.75;27759.78;30482.28
CZ063;2771.45;3231.65;3694.98;3714.22;3933.65;4491.31;5072.35;5683.17;6309.18;5909.34;6133.37;6590.35;6590.93;6436.33;6322.74;6651.99;6985.78;7575.41;:
CZ064;6702.23;7565.92;8706.34;8891.39;9567.43;10826;12242.75;13821.6;16556.03;15278.68;16140.34;17147.32;17270.43;17433.82;17195.99;18408.84;18956.98;20184.37;:
CZ07;6497.82;7275.89;8311.72;8436.58;9043.21;10188.57;11485.49;12708.34;15044.44;13881.19;14595.73;15496.79;15221.24;14849.29;15138.59;15827.88;16618.19;18024.15;19345.06
CZ071;3310.17;3676.34;4200.43;4286.55;4685.27;5130.6;5675.84;6307.58;7366.78;6796.5;7265.65;7715.37;7628.43;7380.2;7364.02;7793.09;8234.53;8988.03;:
CZ072;3187.65;3599.54;4111.29;4150.03;4357.94;5057.97;5809.65;6400.76;7677.67;7084.69;7330.08;7781.43;7592.81;7469.09;7774.57;8034.79;8383.66;9036.12;:
CZ08;6412.38;7228.81;8281.5;8347.44;9543.18;11248.93;12379.04;13820.92;16180.73;14367.97;15376.32;16509.92;16252.71;15291.04;15246.48;16127.18;16788.48;18016.66;19641
CZ080;6412.38;7228.81;8281.5;8347.44;9543.18;11248.93;12379.04;13820.92;16180.73;14367.97;15376.32;16509.92;16252.71;15291.04;15246.48;16127.18;16788.48;18016.66;:
DK;178018.19;184045.57;189794.9;193353.39;202422.21;212832.34;225531.23;233383.22;241613.47;231278.1;243165.44;247879.9;254577.97;258742.68;265756.96;273017.55;283109.65;292407.98;301340.9
DK0;172547.72;179198.69;184919.29;188414.97;196294.63;204385.53;216083.78;223905.74;231230.1;224581.98;235518.55;238938.14;245640.2;251187.72;259465.91;269071.51;279639.69;289021.59;297845.68
DK01;65298.71;67803.5;68469.16;70287.24;74539.73;79913.71;81354.4;84035.62;87990.84;85989.66;93399.91;93288.54;97256.43;100665.87;105454.55;111122.73;114206.24;118561.81;122243.86
DK011;29646.73;30954.59;31243.82;31749.83;33581.48;36261.49;36623.21;38376.35;39342.4;38969.96;43919.66;43511.05;45089.52;46197.21;49382.85;50614.03;52678.1;55256.35;56379.79
DK012;22706.63;23517.61;23738.28;24513.69;26336.7;27905.33;28666.45;29088.9;31474.2;30446.75;32731.13;33214.91;34891.84;36767.07;37906.77;41240.48;41782.38;43043.58;44815.48
DK013;11922.67;12263.91;12385.21;12928.52;13524.26;14595.91;14832.62;15292.38;15910.09;15342.99;15494.5;15281.45;15958.83;16391.03;16787.42;17875.74;18347.65;18842.26;19583.17
DK014;1022.52;1067.23;1102;1095.2;1097.29;1150.82;1231.96;1277.98;1264.15;1229.95;1254.77;1281.28;1316.08;1310.72;1377.5;1392.49;1398.26;1419.61;1465.26
DK02;18740.67;19656.63;20564.79;21022.51;21885.77;22577.3;24028.29;24453.88;24256.99;23437.27;24547.41;24744.88;25470.62;25452.3;25982.97;27592.27;27994.79;28800.74;29903.26
DK021;5275.97;5498.53;5829.27;6029.54;6421.03;6713.07;7068.78;7184.17;6816.98;7214.61;7391.7;7484.42;7552.29;7630.28;7811.87;8224.24;8649.75;8460.41;8756.44
DK022;13464.7;14158.09;14735.37;14992.97;15464.74;15864.23;16959.35;17269.71;17439.86;16222.51;17155.71;17260.62;17918.33;17822.18;18171.1;19368.03;19345.19;20340.33;21146.79
DK03;35098.36;36215.33;37644.84;38299.75;39542.9;40170.85;43497.34;45666.54;47190.58;45297.11;47069.35;48275.04;49040.87;50154.47;51473.07;52592.07;54162.58;55456.44;57351.64
DK031;12742.74;13230.32;13750.38;13856.62;14346.6;14572.69;15654.62;16269.41;17069.96;16520.45;16521.32;16922.49;17036.69;17251.52;17696.94;18117.68;18875.75;19398.25;20020.86
DK032;22355.62;22985.01;23894.62;24443.13;25196.3;25598;27842.72;29397.13;30120.47;28776.66;30548.03;31352.55;32004.34;32902.8;33776.13;34474.39;35286.82;36058.18;37330.66
DK04;36762.95;38346.22;40096.66;40349.18;41814.14;42750.77;46690.59;48318.22;49903.06;48727.33;49135.59;51001.38;51529.72;52311.72;53675.21;54150.95;58887.63;60841.33;62242.68
DK041;13705.15;14209.2;14833.28;14847.15;15434.8;15430.72;17052.17;17663.37;17962.03;17131.77;17214.84;18112.47;18041.56;18539.61;19122.37;18721.77;20673.18;20978.64;21251.65
DK042;23057.81;24137.01;25263.39;25502.19;26379.34;27320.05;29638.41;30654.85;31941.03;31595.56;31920.75;32889.06;33488.16;33772.12;34552.85;35429.03;38214.29;39862.69;40991.02
DK05;16647.04;17177.01;18143.83;18456.3;18511.92;18973.06;20513.16;21431.48;21888.78;21130.47;21366.13;21628.15;22342.4;22603.35;22880.11;23613.64;24388.31;25361.27;26104.24
DK050;16647.04;17177.01;18143.83;18456.3;18511.92;18973.06;20513.16;21431.48;21888.78;21130.47;21366.13;21628.15;22342.4;22603.35;22880.11;23613.64;24388.31;25361.27;26104.29
DKZ;5470.47;4847.04;4875.61;4938.57;6127.58;8446.81;9447.45;9477.48;10383.37;6696.12;7646.89;8941.76;8937.92;7555.11;6291.05;3946.04;3469.96;3386.39;3495.22
DKZZ;5470.47;4847.04;4875.61;4938.57;6127.58;8446.81;9447.45;9477.48;10383.37;6696.12;7646.89;8941.76;8937.92;7555.11;6291.05;3946.04;3469.96;3386.39;3495.22
DKZZZ;5470.47;4847.04;4875.61;4938.57;6127.58;8446.81;9447.45;9477.48;10383.37;6696.12;7646.89;8941.76;8937.92;7555.11;6291.05;3946.04;3469.96;3386.39;3495.18
