GEO/TIME;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
EU27_2020;7869519.31;8241989.57;8539137.11;8767872.85;9167951.15;9560767.52;10112652.86;10738992.68;11085402.06;10587697.08;10978266.91;11322769.12;11390025.44;11516666.66;11781668.79;12213172.55;12550255.35;13046781.75;13483857.12
EU28;9667201.31;10074332.57;10432496.11;10585057.85;11113149.15;11602700.52;12276152.86;13003686.68;13082100.06;12324697.08;12845662.91;13235227.12;13501733.44;13615092.66;14091453.79;14854107.55;14985310.35;15409890.75;15907594.12
BE;256376.4;264334.9;273255.9;281200.2;296819.7;310037.6;325151.5;343618.9;351743.1;346472.8;363140.1;375967.8;386174.7;392880;403003.3;416701.4;430372.1;446364.9;459819.8
BE1;48685.94;50781.94;52715.02;53585.68;56382.87;59149.71;60680.96;63329.66;64250.68;65786.35;69086.02;71211.62;73165.33;73996.67;76063.94;78923.78;80317.93;82277.04;83986.59
BE10;48685.94;50781.94;52715.02;53585.68;56382.87;59149.71;60680.96;63329.66;64250.68;65786.35;69086.02;71211.62;73165.33;73996.67;76063.94;78923.78;80317.93;82277.04;83986.59
BE100;48685.94;50781.94;52715.02;53585.68;56382.87;59149.71;60680.96;63329.66;64250.68;65786.35;69086.02;71211.62;73165.33;73996.67;76063.94;78923.78;80317.93;82277.04;83986.59
BE2;146316.66;150557.27;155835.49;160912.03;170128.85;177746.37;187513.6;199409.06;203206.49;199520.43;208141.88;216565.22;223425.36;227817.91;233234.85;242129.27;251412.56;261263.23;269886.01
BE21;48308.76;48932.02;51211.39;52538.38;56056.31;59542.36;61811.21;65609.67;67124.35;65011.83;68034.94;70963.63;73214.58;74425.63;76009.28;79399.75;82274.13;85180.68;88015.24
BE211;29659.56;30094.79;31205.33;31852.14;34048.6;36451.86;37858.64;39919.68;41129.6;38499.78;40746.51;42455.13;43774.33;44090.79;45100.91;47277.49;48646.35;50478.13;52137.95
BE212;7523.93;7751.95;8342.27;8740.92;9530.56;10003.21;10513.57;11365.68;11431.88;11235.14;11520.61;11929.94;12277.13;12662.28;13003.92;13640.47;14233.26;14756.34;15348.89
BE213;11125.38;11085.29;11663.8;11945.31;12477.15;13087.28;13439;14324.31;14562.87;15276.91;15767.82;16578.56;17163.12;17672.56;17904.46;18481.79;19394.53;19946.21;20528.39
BE22;16508.21;17046.48;17650.72;18257.49;18870.06;19262.99;20622.57;21967.15;22658.17;21319.07;22464.17;23653.28;24132.91;24499.43;25492.15;25879.69;26817.72;27843.87;28707.3
BE221;9759.57;10072.03;10470.89;10851.04;11133.68;11329.11;12153.22;12943.18;13305.61;12489.67;13397.29;14121.02;14294.58;14653.27;15283.8;15433.29;16112.95;16775.63;17264.66
BE222;3942.27;4129.9;4260.67;4355.17;4596.61;4673.92;4969.88;5305.26;5501.02;5243.24;5328.75;5549.64;5763.16;5718.31;5869.87;5985.27;6186.76;6360.23;6626.19
BE223;2806.48;2844.55;2919.16;3051.28;3139.77;3259.96;3499.47;3718.71;3851.53;3586.16;3738.13;3982.61;4075.18;4127.85;4338.48;4461.13;4518.01;4708.01;4816.45
BE23;29374.92;30258.87;31665.76;32812.03;34709.17;36000.99;37913.57;40596.19;41256.64;41264.74;43035.65;44795.55;46065.4;47151.27;47919.5;50199.86;52049.25;54436.87;56414.76
BE231;4142.93;4228.16;4392.32;4553.27;4771.89;4952.01;5193.38;5570.03;5788.4;5854.22;5898.18;6122.91;6422.77;6589.33;6638.7;6981.42;6998.5;7445.5;7684.49
BE232;3215.82;3353.5;3373.94;3476.6;3587.37;3734.99;3967.54;4180.76;4267.07;4241.92;4365.22;4563.49;4775.19;4924.87;4974.75;5146.18;5347.9;5423.18;5645.76
BE233;1278.72;1347.83;1368.99;1419.78;1497.3;1558.01;1721.1;1807.02;1872.84;1825.99;1892.13;1979.9;2072.73;2074.39;2175.05;2221.91;2287.46;2408.77;2493.88
BE234;13659.24;13901.59;14596.37;15031.82;16380.96;16902.65;17752.17;18934.87;19209.96;19260.24;20411.94;21115.76;21612.42;22365.72;22990.75;24151.05;25182.69;26421.25;27422.39
BE235;2252.55;2284.75;2621.74;2809.65;2841.33;2853.18;3114.4;3312.12;3314.06;3340.12;3447.15;3589.76;3736.87;3721.05;3505.27;3625.05;3762.06;3891.14;3966.05
BE236;4825.67;5143.04;5312.29;5520.91;5630.31;6000.15;6164.96;6791.38;6804.32;6742.25;7021.03;7423.72;7445.42;7475.91;7634.97;8074.24;8470.63;8847.03;9202.2
BE24;25623.64;27070.21;27321.98;28510.92;30261.05;31643.35;33787.59;35740.26;36491.05;37027.3;38075.25;39327.9;41014.57;41804.6;42760.78;44547.34;46531.85;48303.34;49832.44
BE241;15810.12;17006.6;17091.22;17680.16;19018.78;19767.63;21209.75;22808.23;23150.7;22845.96;23326.82;24273.2;25291.43;25680.64;26205.77;27599.62;29752.47;29933.56;30719.22
BE242;9813.4;10063.61;10230.75;10830.76;11242.27;11875.72;12577.84;12932.03;13340.34;14181.34;14748.42;15054.71;15723.14;16123.96;16555.01;16947.72;16779.39;18369.78;19113.22
BE25;26501.14;27249.69;27985.75;28793.22;30232.26;31296.68;33378.68;35495.79;35676.29;34897.49;36531.87;37824.86;38997.91;39936.97;41053.13;42102.62;43739.6;45498.47;46916.27
BE251;6498.7;6555.23;6812.04;7061.78;7357.25;7698.32;8161.83;8835.51;8973.52;8853.02;9249.38;9713.91;9815.62;9991.13;10119.72;10283.43;10617.5;11011.96;11366.47
BE252;818.33;865.13;865.01;893.64;940.44;975.11;1048.57;1090.91;1077.5;1056.95;1115.01;1141.74;1208.65;1229.01;1264.62;1277.67;1323.14;1412.86;1449.16
BE253;1938.1;2100.18;2278.44;2256.14;2354.05;2445.17;2572.12;2722.2;2783.24;2728.02;2877.6;3015.04;3137.91;3255.93;3331.59;3487.98;3620.69;3743.71;3833.77
BE254;7296.57;7457.25;7410.77;7671.91;8027.37;8331.87;8876.03;9338.73;9312.16;9070.64;9579.1;9968.28;10330.41;10613.41;11001.77;11319.43;11864.35;12379.52;12777.26
BE255;2705.26;2764.34;2874.5;2982.92;3177.22;3298.37;3503.59;3745.71;3792.95;3656.46;3795.46;3861.58;3993.37;4266.54;4338.59;4418.15;4569.55;4748.93;4910.02
BE256;3522.15;3669.47;3739.52;3806.98;4024.97;4148.35;4518.74;4775.03;4882.43;4831.63;5039.89;5116.41;5281.48;5369.17;5614.05;5728.31;5918.68;6150.69;6371.07
BE257;2382.14;2507.43;2642.02;2650.55;2829.55;2827.13;3030.39;3231.33;3067.07;2941.83;3064.13;3133.61;3276.01;3223.81;3343.21;3504.27;3649.03;3780.82;3877.98
BE258;1339.78;1330.66;1363.45;1469.3;1521.42;1572.37;1667.4;1756.37;1787.4;1758.94;1811.29;1874.3;1954.44;1987.97;2039.59;2083.39;2176.67;2269.97;2330.53
BE3;61043.32;62652.7;64371.28;66417.76;70088.9;72965.18;76783.45;80701.76;84101.63;80972.7;85667.46;87937.49;89316.87;90793.74;93435.05;95389.72;98460.57;102633.03;105694.66
BE31;8641.8;9064.99;9511.57;9710.45;10602.94;11153.44;11760.35;12543.4;13487.03;12958.15;14600.64;13791.38;14535.3;15209.17;15884.31;16274.61;17224.47;18318.65;19299.01
BE310;8641.8;9064.99;9511.57;9710.45;10602.94;11153.44;11760.35;12543.4;13487.03;12958.15;14600.64;13791.38;14535.3;15209.17;15884.31;16274.61;17224.47;18318.65;19299.01
BE32;21247.12;21738.73;22113.85;23071.78;24078.55;24962.33;26048.48;27311.46;28384.76;26777.58;28122.31;29362.42;29696.97;29983.23;30746.54;31410.76;32147.7;33438.92;34239.08
BE321;1078.95;1081.61;1091.29;1141.03;1156.63;1229.15;1308.62;1425.87;1494.92;1449.98;1519.3;1588.95;1612.21;1670.73;1728.89;1801.42;1827.37;1965.92;2036.37
BE322;8039.37;8230.43;8290.85;8624.04;9067.73;9414.97;9760.37;10249.44;10674.05;9955.98;10439.29;10897.71;10762.62;10721.1;11172.77;11278.13;11384.32;11689.12;11682.73
BE323;4013.79;4053.12;4164.37;4271.75;4522.03;4708.43;4918.85;5017.38;5187.68;4834.65;5072.25;5458.47;5601.55;5673.54;5826.73;5992.19;6213.42;6542.64;6849.01
BE324;1386.95;1478.22;1518.7;1579.65;1651.36;1682.47;1740.15;1817.96;1887.6;1794.43;1834.69;1923.18;2012.3;2061.18;2164.66;2269.8;2353.11;2472.9;2547.85
BE325;2639.08;2637.49;2662.07;3006.19;3019.28;3071.27;3153.07;3335.44;3483.38;3124.85;3417.37;3363.03;3489.65;3554.59;3532.43;3630.19;3840.03;3942.15;4127.71
BE326;1569.25;1625.68;1640.26;1649.45;1735.16;1810.16;1907.84;1992.69;2098.31;2099.24;2228.46;2287.84;2341.21;2344.28;2373.66;2399.18;2454.04;2557.43;2630.31
BE327;2519.95;2632.06;2746.4;2799.67;2926.36;3045.88;3259.58;3472.68;3558.83;3518.44;3610.94;3843.24;3877.43;3957.81;3947.41;4039.85;4075.4;4268.74;4365.11
BE33;19036.28;19448.66;19894.36;20342.79;21457.19;22303.42;23473.57;24727.62;25572.45;25024.46;25943.11;27199.42;27373.34;27672.53;28371.54;28876.29;29702.28;30945.16;31638.95
BE331;1525.76;1603.97;1690.02;1825.83;1884.22;1909.58;2018.81;2164.08;2322.99;2235.59;2422.93;2604.74;2463.98;2501.78;2513.7;2505.11;2666.56;2761.59;2810.48
BE332;11679.98;11852.37;12099.4;12494.17;13289.99;13943.49;14648.69;15375.39;15911.43;15569.86;16125.09;16659.65;16927.99;17162;17599.56;17910.27;18386.85;19296.4;19721.18
BE334;880.62;884.96;913.33;928.76;975.34;1018.19;1085.23;1073.95;1138.97;1126.69;1149.83;1217.13;1244.69;1270.76;1315.47;1326;1387.22;1438.65;1474.52
BE335;3564.86;3672.9;3735.19;3684.34;3781.99;3885.51;4080.52;4361.18;4390.12;4374.46;4477.97;4879.16;4831.26;4801.96;5000.46;5148.63;5220.87;5333.71;5467.49
BE336;1385.06;1434.57;1456.31;1409.7;1525.65;1546.65;1640.32;1753.02;1808.93;1717.86;1767.29;1838.73;1905.42;1936.03;1942.36;1986.27;2040.78;2114.81;2165.28
BE34;4437.36;4472.89;4650.62;4757.01;4966.07;5193.81;5557.28;5726.91;5839.88;5662.57;5872.54;6119;5984.85;6047.09;6301.73;6481.34;6656.48;6851.63;7056.22
BE341;1048.69;1040.95;1130.08;1159.09;1177.75;1254.42;1297.37;1355.46;1342.02;1303.11;1321.92;1357.96;1307.03;1275.91;1329.66;1384.38;1425.98;1463.2;1501.33
BE342;587.86;607.77;665.77;670.06;721.92;756.35;792.86;835.39;892.32;983.41;1009.88;1076.3;910.74;914.68;967.43;1002.62;1019.33;1063.4;1088.25
